Averaged Fitness Value,Standard Deviation value,calculation time(milis)
285.691406,3825.885239,4
239.235352,2717.687774,4
202.192871,2322.327547,4
170.510254,1887.180559,4
144.734863,1454.693863,4
126.357910,1273.614576,4
110.119629,1077.337740,4
99.141113,1101.316513,4
88.403320,1067.370536,4
78.420898,1010.828704,4
69.651855,903.033581,4
63.287598,837.621877,4
59.079102,913.662688,5
52.817871,844.752474,5
48.978027,845.020513,4
46.589355,879.546703,6
43.154297,891.987911,5
40.284668,832.865741,6
38.114746,857.695329,4
34.884277,817.907995,6
32.521973,789.245611,5
32.354492,850.914374,4
30.358887,839.476181,5
30.055176,848.562874,4
29.218750,915.492188,4
26.734375,849.959717,4
26.447754,859.290239,4
24.354980,817.102016,4
25.277832,946.130329,5
23.730957,865.098026,4
22.452148,846.368804,4
22.452148,846.368804,4
String tested,Total calculation time(milis)
HqOhgBcoiM,166
