Averaged Fitness Value,Standard Deviation value,calculation time(milis)
333.405762,4208.067291,6
281.974121,2892.960756,4
243.898438,2230.685974,20
213.365723,1764.994665,6
188.929688,1493.853455,14
167.541504,1318.538316,6
151.398438,1395.241638,8
135.800293,1294.527012,6
120.899414,1204.977187,7
107.193848,1061.494161,9
96.977051,1067.804649,10
86.560059,989.880182,9
79.949219,1010.323593,6
71.237793,922.690037,5
65.256836,940.812942,7
59.454102,936.164886,7
55.002930,928.965812,6
49.534180,824.200980,6
45.618164,848.087600,5
42.264160,825.374067,5
39.668945,861.529075,5
37.809570,863.384635,5
35.815918,892.778126,10
34.056152,847.132101,6
32.330078,901.827572,5
30.093750,871.606445,7
28.987305,918.219565,12
26.170410,835.360121,8
26.762207,941.674412,4
24.215332,860.870136,4
24.708984,917.414333,5
24.225098,926.341421,5
22.506836,887.571242,5
22.506836,887.571242,5
String tested,Total calculation time(milis)
lGPTmRHveSbg,263
