Averaged Fitness Value,Standard Deviation value,calculation time(milis)
271.104492,3973.236152,6
224.456543,2732.714908,5
188.842773,2198.856139,20
160.078613,1914.187668,5
133.859863,1492.272842,6
114.442871,1332.041658,6
99.144531,1221.402939,6
86.685059,1142.335871,6
76.428711,1068.090621,7
66.438965,944.821470,5
59.270508,900.461005,5
53.860352,856.647491,6
50.537109,868.515224,5
45.977539,870.964339,7
42.571777,864.033911,6
40.085938,886.407654,5
36.763672,866.335751,5
34.886230,872.540279,6
32.250977,853.372558,5
29.666016,856.144314,6
28.106934,864.376749,5
27.412598,878.070486,6
25.929199,889.524772,5
25.929199,889.524772,5
String tested,Total calculation time(milis)
mdcBYpoEq,162
