Averaged Fitness Value,Standard Deviation value,calculation time(milis)
270.205078,3535.091732,6
227.653320,2551.703055,5
193.524902,2064.999380,6
165.817383,1703.696143,14
142.272949,1432.994346,4
123.609375,1312.693115,5
107.698242,1169.085700,5
96.131836,1182.634963,5
85.214844,1062.990952,6
73.794922,927.021420,5
65.691895,924.700481,6
59.437500,847.213867,5
54.933105,867.731365,5
49.410156,835.833725,5
45.665039,855.689559,6
41.799805,829.148398,5
39.127930,898.987540,7
36.282227,819.459411,5
33.429688,782.444275,5
31.156250,798.842773,7
29.615723,791.769811,6
28.921387,830.170089,5
27.395996,835.394457,7
26.925781,832.957382,6
26.196289,836.904830,5
24.159180,797.227592,7
24.526855,895.442638,5
22.215820,826.999320,6
22.708008,907.348334,5
22.708008,907.348334,5
String tested,Total calculation time(milis)
IjCeByNpm,195
