Averaged Fitness Value,Standard Deviation value,calculation time(milis)
424.707520,5247.268459,6
367.460449,3723.722069,4
320.979004,3050.222704,15
283.018555,2355.571921,5
251.363770,2114.268551,5
223.830078,1816.292416,8
199.779297,1723.634884,5
178.525391,1608.888027,5
158.785645,1411.504345,9
140.937500,1249.824219,9
125.814941,1111.245538,5
114.942871,1166.941561,6
103.225098,1060.925405,10
92.710449,977.216453,5
84.642090,974.064771,5
77.415527,974.903997,8
71.033691,912.954431,8
64.632324,821.010811,9
60.384766,878.565823,6
55.834961,805.591903,6
53.375977,866.968993,6
49.972656,841.972885,7
47.628418,884.297962,5
45.999023,898.302733,8
42.221680,835.759452,5
40.520020,899.560146,5
37.779785,882.642423,7
36.518066,901.284830,5
34.589844,887.212631,6
31.285156,794.669662,19
31.824707,923.803745,6
28.932129,818.108186,6
29.054688,910.424744,8
25.829102,833.262786,5
27.104004,918.831468,6
24.806641,864.784878,8
24.354492,839.537421,6
23.246094,852.784164,6
23.292969,858.774521,6
22.765625,838.341553,5
23.393555,864.124412,7
21.654297,842.952755,6
21.616211,812.379073,6
20.667480,812.259060,6
20.667480,812.259060,6
String tested,Total calculation time(milis)
VAZnUHwSMoaBxFl,333
