Averaged Fitness Value,Standard Deviation value,calculation time(milis)
297.983887,3383.158432,8
254.300781,2428.392929,6
221.117676,1993.034492,5
192.968262,1673.202606,7
167.759277,1412.734533,5
146.927734,1234.031887,5
130.637207,1189.992893,8
116.885742,1125.169562,5
103.117188,1094.907166,7
89.767578,889.402035,9
80.909668,920.286274,5
72.604492,809.371894,5
66.660156,851.096420,9
59.693359,801.293667,19
54.986816,805.120432,5
50.149902,787.519033,5
47.507324,880.854439,6
42.307129,711.678621,6
39.380859,781.823696,7
37.012207,765.187839,5
33.874023,755.634521,6
33.904297,824.778927,6
31.600098,803.347402,4
30.282227,738.038512,5
29.576172,823.350643,5
28.098145,788.411754,5
26.844727,789.044250,5
25.339355,760.462475,5
26.466309,890.201990,5
23.950195,779.733848,4
23.781738,835.641327,4
23.984375,872.970459,6
21.737305,763.361655,5
22.604004,839.541918,5
21.722656,824.632065,6
21.700195,833.971641,4
19.981445,756.235007,5
20.915527,837.370306,8
20.370605,831.686382,4
19.225098,769.740835,13
20.130371,827.012789,5
19.226074,752.439613,6
19.343262,800.132660,6
18.415039,789.115829,5
19.950684,844.023447,8
18.602051,801.120445,7
19.466797,846.879757,11
19.722168,810.726032,5
18.653320,809.758719,6
19.146484,819.989285,6
19.431152,820.360494,6
20.532715,884.824125,5
20.077637,881.037430,4
18.095703,736.616817,5
18.176758,743.363288,6
19.724609,847.557949,5
19.630371,863.586519,5
19.502441,854.437494,11
18.954102,789.677581,5
20.106934,818.735147,4
19.102539,816.247298,5
18.617188,742.471619,4
19.779785,815.015470,6
19.119141,820.767056,5
19.062988,786.115661,7
19.938477,820.004027,5
18.836914,773.665786,5
18.836914,773.665786,5
String tested,Total calculation time(milis)
ImDNfLbXCGx,454
