Averaged Fitness Value,Standard Deviation value,calculation time(milis)
682.807617,432.791114,8
667.055664,684.153152,9
645.068359,970.405483,8
619.360352,1214.385772,9
591.225586,1402.843642,10
564.140625,1588.031006,8
534.360352,1796.856475,9
504.003906,2166.195297,7
471.279297,2283.910275,7
437.319336,2499.503493,7
401.645508,2774.196601,8
365.175781,2680.828476,6
330.917969,2722.399521,6
298.149414,2911.272597,6
265.546875,3036.029053,8
231.884766,2898.986721,6
199.790039,3048.539901,6
169.399414,2895.684218,6
169.399414,2895.684218,6
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,149
