Averaged Fitness Value,Standard Deviation value,calculation time(milis)
421.797363,6413.051224,4
356.929688,4640.626892,5
305.286133,3827.742347,8
260.850586,3195.947402,5
224.325684,2482.616098,5
193.136719,2078.016464,5
168.924316,1905.702768,5
148.799805,1603.567344,8
130.992676,1494.214302,5
115.878906,1332.286118,5
103.761719,1176.742050,9
93.853027,1066.852911,5
86.626465,1143.795530,6
77.252441,1053.234613,6
70.255371,1011.511446,5
64.495117,1028.996070,7
59.987793,1052.133152,7
53.196777,869.964697,6
48.720215,904.795255,6
45.537598,930.089407,7
42.256836,959.977981,10
39.732910,948.859815,6
37.144531,949.442978,6
35.875488,971.663696,6
33.174316,957.383188,7
31.577637,1001.943191,5
30.213379,984.009645,5
27.799316,922.752207,5
29.080566,1080.836771,6
25.664551,910.802025,5
27.492676,1088.886665,16
26.485352,1010.898223,5
24.386719,930.326035,5
24.868652,986.656088,8
24.888672,1016.748348,5
24.232910,973.239210,5
23.428223,925.894262,7
23.665527,1018.324163,5
23.329590,975.723890,5
22.551270,934.490535,8
23.270996,1008.244432,5
22.184570,931.701285,6
22.457520,1004.170070,8
20.412109,920.814541,6
21.960449,971.174705,5
21.495117,993.924781,5
21.001953,967.361324,6
21.812988,1030.855163,5
20.086914,916.794204,6
20.286133,943.606605,6
20.938477,974.820434,4
22.569336,1102.193435,5
21.337402,1029.228445,6
20.016113,949.618393,4
20.602051,981.388023,5
21.026367,978.334266,5
21.026367,978.334266,5
String tested,Total calculation time(milis)
Hello world!,375
