Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.813477,412.459350,0.013000,13
617.802734,725.347805,0.007000,7
595.224609,1085.984707,0.007000,7
567.841797,1354.326534,0.006000,6
538.251953,1498.116207,0.007000,7
509.375000,1633.984375,0.008000,8
478.496094,1937.484360,0.008000,8
448.364258,2069.834113,0.006000,6
416.772461,2383.479476,0.008000,8
380.820312,2439.463806,0.008000,8
347.202148,2615.560699,0.005000,5
312.612305,2719.787192,0.007000,7
279.667969,2617.956161,0.004000,4
245.747070,2591.922355,0.005000,5
216.372070,2627.902579,0.008000,8
186.772461,2503.596663,0.008000,8
161.445312,2615.293884,0.005000,5
161.445312,2615.293884,0.005000,5
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,153
