Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.981445,271.448874,0.004000,4
429.389648,483.953643,0.004000,4
412.700195,798.812461,0.005000,5
387.475586,1047.289443,0.005000,5
365.234375,1253.460693,0.006000,6
337.182617,1318.576026,0.010000,10
314.116211,1751.074386,0.004000,4
282.285156,1764.406967,0.005000,5
257.866211,2187.292647,0.006000,6
227.465820,2227.318168,0.004000,4
196.533203,2202.727413,0.004000,4
172.583008,2113.201118,0.004000,4
145.991211,1999.896407,0.004000,4
125.083008,1945.793891,0.004000,4
125.083008,1945.793891,0.004000,4
String tested,Total calculation time(milis)
VbTHsrIpt,92
