Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.813477,412.459350,0.007000,7
617.802734,725.347805,0.006000,6
595.224609,1085.984707,0.005000,5
567.841797,1354.326534,0.006000,6
538.251953,1498.116207,0.016000,16
509.375000,1633.984375,0.007000,7
478.496094,1937.484360,0.005000,5
448.364258,2069.834113,0.005000,5
416.772461,2383.479476,0.006000,6
380.820312,2439.463806,0.006000,6
347.202148,2615.560699,0.005000,5
312.612305,2719.787192,0.005000,5
279.667969,2617.956161,0.005000,5
245.747070,2591.922355,0.005000,5
216.372070,2627.902579,0.005000,5
186.772461,2503.596663,0.004000,4
161.445312,2615.293884,0.004000,4
161.445312,2615.293884,0.004000,4
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,134
