Averaged Fitness Value,Standard Deviation value,calculation time(milis)
372.956543,4243.696842,6
320.933594,2999.160629,5
281.077637,2649.720047,4
244.784668,2107.772480,5
215.775391,1725.642910,4
192.762207,1527.271091,5
173.043457,1353.096256,4
156.249512,1240.200927,5
141.819336,1163.950759,4
127.102539,1026.556869,4
115.949707,1033.207920,5
105.782227,953.445739,4
96.399414,892.167617,4
88.317871,894.830110,5
81.966797,882.950069,4
75.244141,851.818325,4
70.674805,869.413779,4
64.884277,796.114050,5
60.200195,775.482383,5
56.293457,745.455387,6
52.991211,782.943282,6
51.000488,824.442871,5
47.982910,797.311720,5
46.229004,797.167772,5
43.867676,792.326729,6
42.432129,850.738558,5
39.791016,764.686794,4
38.108887,792.497421,4
37.259766,820.980373,4
34.909180,798.236869,4
33.938477,827.753051,5
32.559570,830.411490,5
30.892578,804.781429,6
28.934082,796.134815,4
29.443848,843.027120,5
27.205078,801.618099,5
27.037598,836.668020,5
25.961914,854.639174,5
25.229492,816.094794,4
23.890625,752.948975,4
25.396973,835.490362,4
23.230469,792.025009,5
23.248047,798.919918,6
22.318848,829.589254,4
22.160645,825.503002,4
21.906738,812.887298,4
22.083496,849.837267,4
20.532227,779.805602,5
20.537598,822.912649,4
20.391602,828.117156,5
20.391602,828.117156,5
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,273
