Averaged Fitness Value,Standard Deviation value,calculation time(milis)
586.186523,382.674193,7
571.435547,640.126705,8
551.040039,1006.193709,7
524.921875,1299.505615,7
497.309570,1612.536979,6
467.358398,1822.660613,8
434.580078,1933.515072,7
404.394531,2101.000595,7
371.694336,2197.959304,7
339.458008,2342.626166,7
311.040039,2517.814803,6
277.773438,2559.593201,6
246.284180,2626.768851,6
214.833984,2606.320095,6
185.107422,2275.086117,5
185.107422,2275.086117,5
String tested,Total calculation time(milis)
lGPTmRHveSbg,114
