Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
490.034180,290.965629,0.007000,7
477.709961,526.738143,0.007000,7
459.658203,886.992550,0.006000,6
431.777344,1120.571518,0.005000,5
407.622070,1382.284904,0.006000,6
380.292969,1624.816513,0.006000,6
350.585938,1776.512146,0.007000,7
323.310547,1920.583248,0.005000,5
294.570312,2213.096619,0.005000,5
264.985352,2320.116973,0.006000,6
233.173828,2474.985409,0.006000,6
202.387695,2495.031333,0.005000,5
173.056641,2387.922573,0.005000,5
173.056641,2387.922573,0.005000,5
String tested,Total calculation time(milis)
EBsXFOqoKP,99
