Averaged Fitness Value,Standard Deviation value,calculation time(milis)
438.150879,5852.797060,7
377.432617,4171.263038,5
330.455566,3352.717752,5
292.847168,3204.431232,4
254.123047,2641.756344,5
222.194336,2320.644851,4
195.785645,2068.112743,6
171.940918,1812.845630,5
151.812988,1582.071960,5
132.977539,1361.285628,6
119.199219,1340.941757,6
107.095703,1171.734005,7
95.756348,1048.847372,6
86.676270,1061.954281,8
79.776367,1057.867957,5
72.631348,1039.641927,5
66.706543,971.891910,7
60.792969,910.156357,6
55.791992,922.025092,6
51.683105,915.519207,7
47.619629,926.802095,5
44.585938,951.988708,6
41.165527,988.033636,6
38.855469,979.565048,6
35.776367,945.722449,7
33.467773,944.626891,7
31.337891,925.195400,6
29.682617,917.405128,6
29.618652,943.008383,8
27.234375,884.126709,5
27.746094,984.663071,6
26.625000,934.776367,6
25.824219,953.503281,6
24.111328,893.054989,6
25.958008,1025.833198,8
23.764160,939.506391,6
23.835449,949.190208,6
23.317871,989.220735,5
22.599609,919.577969,7
21.747559,882.060785,12
23.136230,932.652828,5
21.730469,935.912704,6
21.808594,923.774887,6
20.731934,916.016519,6
20.731934,916.016519,6
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,298
