Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.594727,291.681457,0.005000,5
476.904297,511.119747,0.005000,5
459.052734,815.508938,0.005000,5
434.311523,1079.506469,0.005000,5
410.122070,1398.959708,0.006000,6
380.322266,1725.189114,0.004000,4
350.488281,2049.761581,0.005000,5
319.799805,2304.207969,0.006000,6
286.933594,2443.624496,0.009000,9
254.438477,2578.786254,0.006000,6
222.163086,2633.553481,0.005000,5
188.930664,2740.409255,0.005000,5
188.930664,2740.409255,0.005000,5
String tested,Total calculation time(milis)
kBcpJtaHSO,86
