Averaged Fitness Value,Standard Deviation value,calculation time(milis)
285.691406,3825.885239,7
239.235352,2717.687774,5
202.192871,2322.327547,5
170.510254,1887.180559,5
144.734863,1454.693863,6
126.357910,1273.614576,7
110.119629,1077.337740,6
99.141113,1101.316513,6
88.403320,1067.370536,7
78.420898,1010.828704,5
69.651855,903.033581,5
63.287598,837.621877,8
59.079102,913.662688,6
52.817871,844.752474,5
48.978027,845.020513,7
46.589355,879.546703,6
43.154297,891.987911,6
40.284668,832.865741,4
38.114746,857.695329,5
34.884277,817.907995,5
32.521973,789.245611,6
32.354492,850.914374,5
30.358887,839.476181,4
30.055176,848.562874,5
29.218750,915.492188,4
26.734375,849.959717,5
26.447754,859.290239,4
24.354980,817.102016,5
25.277832,946.130329,7
23.730957,865.098026,5
22.452148,846.368804,16
22.452148,846.368804,16
String tested,Total calculation time(milis)
HqOhgBcoiM,204
