Averaged Fitness Value,Standard Deviation value,calculation time(milis)
293.372070,4235.956290,9
244.348145,3003.985729,6
206.413086,2438.486587,6
175.212402,2097.895803,5
149.712891,1657.974209,5
130.001953,1474.520504,5
112.524902,1364.364614,5
98.141113,1276.674911,6
85.934082,1203.612354,11
75.007812,1112.286072,4
65.103516,1055.796902,4
57.186035,938.905332,6
52.362793,974.195041,6
46.418945,920.619407,6
42.171387,907.018966,8
39.191895,923.358196,6
35.783691,903.332605,6
33.796387,867.837936,8
31.306641,873.720425,5
28.862793,876.981663,11
27.366211,883.221358,7
26.500000,892.549805,6
25.086914,893.596938,8
24.916992,917.673774,8
24.121094,920.145493,5
22.249512,864.167724,6
22.249512,864.167724,6
String tested,Total calculation time(milis)
HowAreYou,193
