Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
421.797363,6413.051224,0.005000,5
356.929688,4640.626892,0.004000,4
305.286133,3827.742347,0.004000,4
260.850586,3195.947402,0.004000,4
224.325684,2482.616098,0.003000,3
193.136719,2078.016464,0.019000,19
168.924316,1905.702768,0.004000,4
148.799805,1603.567344,0.004000,4
130.992676,1494.214302,0.004000,4
115.878906,1332.286118,0.003000,3
103.761719,1176.742050,0.005000,5
93.853027,1066.852911,0.005000,5
86.626465,1143.795530,0.006000,6
77.252441,1053.234613,0.004000,4
70.255371,1011.511446,0.009000,9
64.495117,1028.996070,0.004000,4
59.987793,1052.133152,0.006000,6
53.196777,869.964697,0.005000,5
48.720215,904.795255,0.005000,5
45.537598,930.089407,0.005000,5
42.256836,959.977981,0.003000,3
39.732910,948.859815,0.005000,5
37.144531,949.442978,0.006000,6
35.875488,971.663696,0.004000,4
33.174316,957.383188,0.004000,4
31.577637,1001.943191,0.008000,8
30.213379,984.009645,0.004000,4
27.799316,922.752207,0.005000,5
29.080566,1080.836771,0.004000,4
25.664551,910.802025,0.003000,3
27.492676,1088.886665,0.007000,7
26.485352,1010.898223,0.004000,4
24.386719,930.326035,0.004000,4
24.868652,986.656088,0.016000,16
24.888672,1016.748348,0.004000,4
24.232910,973.239210,0.004000,4
23.428223,925.894262,0.006000,6
23.665527,1018.324163,0.004000,4
23.329590,975.723890,0.004000,4
22.551270,934.490535,0.004000,4
23.270996,1008.244432,0.003000,3
22.184570,931.701285,0.004000,4
22.457520,1004.170070,0.003000,3
20.412109,920.814541,0.004000,4
21.960449,971.174705,0.003000,3
21.495117,993.924781,0.004000,4
21.001953,967.361324,0.003000,3
21.812988,1030.855163,0.007000,7
20.086914,916.794204,0.004000,4
20.286133,943.606605,0.004000,4
20.938477,974.820434,0.018000,18
22.569336,1102.193435,0.008000,8
21.337402,1029.228445,0.004000,4
20.016113,949.618393,0.004000,4
20.602051,981.388023,0.004000,4
21.026367,978.334266,0.004000,4
21.663086,1045.893325,0.006000,6
21.663086,1045.893325,0.006000,6
String tested,Total calculation time(milis)
Hello world!,411
