Averaged Fitness Value,Standard Deviation value,calculation time(milis)
378.707031,4528.720810,6
327.136230,2966.275875,6
288.134277,2437.652380,6
254.960938,1992.249451,6
227.750000,1816.445312,9
202.765137,1693.053726,5
181.583984,1516.057400,5
162.977051,1448.552696,9
145.121582,1291.263050,7
129.477051,1138.751426,5
116.992676,1119.781685,6
105.654297,1033.473263,7
95.488770,969.354366,6
85.632324,911.005928,5
78.439941,948.875299,8
71.897461,931.346908,5
65.959961,866.678084,6
60.319336,824.448806,7
55.625000,849.017578,5
51.378418,797.726429,5
47.583984,802.633572,6
45.496582,821.397449,7
42.410645,807.824047,6
40.896973,817.766241,7
38.002930,769.843741,5
37.094727,837.810363,5
35.118164,801.721389,7
33.215332,810.907245,7
33.472656,871.197495,4
30.853027,784.603887,8
30.464844,838.536850,5
29.745605,830.342998,5
27.805176,801.392219,6
27.055176,814.531624,4
26.814453,891.197018,5
25.599609,828.986172,5
24.638672,800.552059,5
24.587891,882.124111,5
23.087402,825.635427,5
22.723145,826.922863,7
22.723145,826.922863,7
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,263
