Averaged Fitness Value,Standard Deviation value,calculation time(milis)
440.774902,5548.214468,6
381.647949,4021.428306,5
335.029785,3405.083586,5
293.244141,2636.444302,7
259.115234,2211.934963,5
230.178223,1966.224584,7
205.641113,1765.767196,7
182.773926,1654.582191,9
162.201660,1439.342634,7
144.540039,1254.042342,6
129.397461,1057.384017,8
119.583008,1026.669868,6
110.163086,945.286880,6
101.489746,881.384660,7
94.736328,853.669735,5
88.614746,874.325701,5
83.192383,840.930762,5
77.437500,818.860352,6
72.318359,816.778530,4
67.407227,810.288268,6
63.535645,833.531933,7
59.405273,840.496886,6
55.986816,869.077463,5
53.172363,856.953201,6
49.058105,812.503948,4
46.950195,910.897910,6
43.225586,843.668838,5
42.054199,902.506340,5
39.599609,865.227383,4
36.388184,809.623239,5
36.395508,921.849433,6
33.131836,814.044143,4
32.896484,893.650417,5
29.356445,816.116111,5
30.214844,881.216537,5
27.913086,839.258071,7
27.239746,817.172502,5
26.282227,870.078551,6
25.837891,831.959072,8
25.034180,810.024222,6
25.744141,845.019497,6
23.906738,825.006439,9
24.037109,828.228115,6
22.875488,824.567016,6
22.636719,867.056503,7
22.928223,866.349828,9
23.018066,867.987467,5
21.130859,784.713345,5
21.510254,845.370989,8
21.510254,845.370989,8
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,330
