Averaged Fitness Value,Standard Deviation value,calculation time(milis)
730.043945,513.523459,8
712.084961,756.639266,9
688.505859,1056.361294,9
662.631836,1180.036330,9
633.540039,1457.145858,20
605.131836,1766.095901,10
571.005859,1903.480434,11
538.461914,2191.921401,9
503.315430,2459.076285,9
466.303711,2571.151900,10
430.551758,3002.088141,10
391.733398,3279.075408,9
352.382812,3524.888611,10
311.147461,3229.200912,9
272.421875,3116.693115,6
236.967773,3178.940368,7
202.607422,2893.006039,8
173.046875,2608.782959,7
145.815430,2519.159293,7
145.815430,2519.159293,7
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,190
