Averaged Fitness Value,Standard Deviation value,calculation time(milis)
730.043945,513.523459,8
712.084961,756.639266,9
688.505859,1056.361294,10
662.631836,1180.036330,8
633.540039,1457.145858,9
605.131836,1766.095901,7
571.005859,1903.480434,8
538.461914,2191.921401,7
503.315430,2459.076285,7
466.303711,2571.151900,7
430.551758,3002.088141,7
391.733398,3279.075408,6
352.382812,3524.888611,6
311.147461,3229.200912,7
272.421875,3116.693115,9
236.967773,3178.940368,6
202.607422,2893.006039,5
173.046875,2608.782959,7
145.815430,2519.159293,5
145.815430,2519.159293,5
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,158
