Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
441.245117,274.377418,0.005000,5
430.190430,497.278190,0.008000,8
413.715820,859.971976,0.006000,6
388.129883,1135.125709,0.005000,5
364.233398,1377.049041,0.015000,15
335.205078,1570.465755,0.005000,5
308.725586,1754.284072,0.005000,5
279.970703,2055.467892,0.005000,5
252.333984,2202.657986,0.007000,7
222.700195,2507.113242,0.005000,5
191.801758,2383.618903,0.005000,5
165.766602,2410.545135,0.006000,6
165.766602,2410.545135,0.006000,6
String tested,Total calculation time(milis)
mdcBYpoEq,97
