Averaged Fitness Value,Standard Deviation value,calculation time(milis)
407.796875,5702.695068,6
351.416016,4069.568142,6
304.330078,3257.769955,6
266.549316,2783.958505,7
231.972168,2409.479206,6
202.146484,2133.890652,7
177.558594,1801.202621,5
158.092285,1685.002714,6
139.331543,1514.302677,7
122.586914,1314.398696,6
110.203613,1241.237350,6
99.511230,1157.900265,6
90.284668,1124.828632,6
81.161133,1064.386146,5
73.663086,1029.233169,8
68.053223,1063.630468,4
62.607910,1014.831129,6
56.349609,921.635586,5
52.048340,969.955183,6
47.816895,924.797039,8
44.363770,924.231441,5
42.823730,962.226253,6
39.769043,890.766483,5
38.929688,955.879822,6
36.459473,926.164373,6
35.064453,952.630611,4
33.360840,941.087080,6
31.241699,912.908867,8
31.836426,1000.528419,6
29.226562,864.092224,5
29.688477,1008.691039,7
29.433594,987.682114,7
27.616211,938.824386,6
26.867676,918.772041,7
27.060059,992.852350,8
26.553223,983.113378,5
25.506348,912.640585,6
25.521484,989.456570,6
24.242188,943.954041,5
24.094727,951.292785,6
24.453613,999.494919,7
23.457031,974.207138,7
23.457031,974.207138,7
String tested,Total calculation time(milis)
fuvsirPdjYDae,282
