Averaged Fitness Value,Standard Deviation value,calculation time(milis)
156.348633,2106.216346,5
125.729980,1745.270351,5
102.595703,1445.996700,5
83.934082,1186.053760,5
69.415039,1054.797469,4
58.537598,926.832571,6
50.060547,859.944576,5
45.267578,886.083675,8
42.010742,919.065314,5
37.418457,914.666202,5
32.917480,831.625515,7
30.142578,862.258968,5
28.158691,802.815149,5
27.777344,912.526596,7
24.530273,847.544982,6
23.975586,850.200576,6
23.975586,850.200576,6
String tested,Total calculation time(milis)
EvdVt,101
