Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
152.276367,2222.070106,0.006000,6
121.446289,1719.043014,0.003000,3
97.703613,1456.430221,0.007000,7
79.385742,1230.575812,0.006000,6
65.143066,1019.835489,0.004000,4
55.784180,936.966117,0.004000,4
48.578613,950.266281,0.006000,6
43.354980,990.483852,0.004000,4
39.844727,1005.629210,0.003000,3
35.452148,981.458648,0.004000,4
31.576172,949.655331,0.003000,3
28.630859,930.590298,0.006000,6
27.394531,911.387314,0.003000,3
27.600098,1027.714590,0.004000,4
24.344238,953.047027,0.004000,4
24.153320,932.877860,0.004000,4
23.467773,997.497985,0.004000,4
23.467773,997.497985,0.004000,4
String tested,Total calculation time(milis)
barak,105
