Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
333.405762,4208.067291,0.003000,3
281.974121,2892.960756,0.003000,3
243.898438,2230.685974,0.003000,3
213.365723,1764.994665,0.004000,4
188.929688,1493.853455,0.003000,3
167.541504,1318.538316,0.004000,4
151.398438,1395.241638,0.004000,4
135.800293,1294.527012,0.003000,3
120.899414,1204.977187,0.004000,4
107.193848,1061.494161,0.004000,4
96.977051,1067.804649,0.004000,4
86.560059,989.880182,0.003000,3
79.949219,1010.323593,0.005000,5
71.237793,922.690037,0.003000,3
65.256836,940.812942,0.003000,3
59.454102,936.164886,0.004000,4
55.002930,928.965812,0.003000,3
49.534180,824.200980,0.003000,3
45.618164,848.087600,0.003000,3
42.264160,825.374067,0.003000,3
39.668945,861.529075,0.003000,3
37.809570,863.384635,0.003000,3
35.815918,892.778126,0.003000,3
34.056152,847.132101,0.003000,3
32.330078,901.827572,0.003000,3
30.093750,871.606445,0.004000,4
28.987305,918.219565,0.004000,4
26.170410,835.360121,0.005000,5
26.762207,941.674412,0.004000,4
24.215332,860.870136,0.003000,3
24.708984,917.414333,0.004000,4
24.225098,926.341421,0.004000,4
22.506836,887.571242,0.003000,3
22.468262,889.090790,0.003000,3
22.468262,889.090790,0.003000,3
String tested,Total calculation time(milis)
lGPTmRHveSbg,181
