Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
152.276367,2222.070106,0.002000,2
121.446289,1719.043014,0.002000,2
97.703613,1456.430221,0.002000,2
79.385742,1230.575812,0.002000,2
65.143066,1019.835489,0.003000,3
55.784180,936.966117,0.003000,3
48.578613,950.266281,0.004000,4
43.354980,990.483852,0.002000,2
39.844727,1005.629210,0.003000,3
35.452148,981.458648,0.002000,2
31.576172,949.655331,0.004000,4
28.630859,930.590298,0.003000,3
27.394531,911.387314,0.003000,3
27.600098,1027.714590,0.003000,3
24.344238,953.047027,0.003000,3
24.153320,932.877860,0.003000,3
23.467773,997.497985,0.003000,3
23.467773,997.497985,0.003000,3
String tested,Total calculation time(milis)
barak,79
