Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.994141,459.632778,0.007000,7
617.500000,769.042969,0.006000,6
593.730469,1168.212509,0.007000,7
567.719727,1444.653869,0.005000,5
537.568359,1710.688686,0.006000,6
506.704102,2001.099944,0.007000,7
470.527344,2334.194565,0.005000,5
435.732422,2550.147152,0.007000,7
398.608398,2471.256804,0.005000,5
362.929688,2493.467712,0.005000,5
329.287109,2523.710537,0.005000,5
297.021484,2582.534695,0.005000,5
266.835938,2719.285583,0.004000,4
233.969727,2884.778380,0.005000,5
202.446289,2610.666060,0.005000,5
174.062500,2550.195312,0.004000,4
174.062500,2550.195312,0.004000,4
String tested,Total calculation time(milis)
fuvsirPdjYDae,116
