Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.186523,382.674193,0.007000,7
571.435547,640.126705,0.005000,5
551.040039,1006.193709,0.006000,6
524.921875,1299.505615,0.006000,6
497.309570,1612.536979,0.006000,6
467.358398,1822.660613,0.006000,6
434.580078,1933.515072,0.005000,5
404.394531,2101.000595,0.006000,6
371.694336,2197.959304,0.005000,5
339.458008,2342.626166,0.006000,6
311.040039,2517.814803,0.005000,5
277.773438,2559.593201,0.005000,5
246.284180,2626.768851,0.005000,5
214.833984,2606.320095,0.005000,5
185.107422,2275.086117,0.005000,5
160.351562,2292.942810,0.004000,4
160.351562,2292.942810,0.004000,4
String tested,Total calculation time(milis)
lGPTmRHveSbg,116
