Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
233.831055,2765.029075,0.014000,14
197.603027,2005.764776,0.004000,4
168.329590,1575.965101,0.004000,4
144.773438,1473.501404,0.004000,4
123.305664,1188.746413,0.004000,4
107.397461,1139.356673,0.019000,19
93.822266,998.435207,0.004000,4
83.575684,980.373178,0.004000,4
75.139648,964.512725,0.007000,7
65.937500,848.525391,0.003000,3
59.152832,864.104084,0.004000,4
54.036133,816.827796,0.005000,5
50.597168,842.347980,0.004000,4
46.024902,823.956899,0.004000,4
42.812012,801.715149,0.007000,7
40.509766,818.251858,0.005000,5
37.953125,825.887451,0.004000,4
36.254395,809.021709,0.006000,6
33.371094,776.208969,0.004000,4
31.301758,819.323005,0.004000,4
29.275391,756.662441,0.010000,10
28.897461,825.774642,0.004000,4
27.230469,819.458603,0.006000,6
26.960938,838.010193,0.004000,4
26.065918,831.101612,0.004000,4
24.274414,805.196181,0.004000,4
24.431641,887.191616,0.004000,4
22.611816,859.263864,0.005000,5
22.611816,859.263864,0.005000,5
String tested,Total calculation time(milis)
TBJalImUZ,206
