Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
278.201172,3424.848202,0.004000,4
182.683105,1134.506511,0.003000,3
133.863281,889.892441,0.003000,3
100.582520,885.472683,0.004000,4
74.335449,791.873314,0.004000,4
59.326660,804.070539,0.005000,5
49.013672,768.767391,0.003000,3
41.658691,819.618372,0.004000,4
35.899902,756.579336,0.005000,5
32.720703,918.269650,0.004000,4
29.345215,846.604948,0.003000,3
25.988770,767.519893,0.004000,4
25.072754,786.244219,0.004000,4
24.716309,872.449304,0.003000,3
23.102051,830.386558,0.003000,3
21.631836,817.722854,0.005000,5
20.571777,829.141332,0.003000,3
19.967773,809.338805,0.003000,4
19.967773,809.338805,0.003000,4
String tested,Total calculation time(milis)
kBcpJtaHSO,3606
