Averaged Fitness Value,Standard Deviation value,calculation time(milis)
288.244629,3236.311739,6
245.144531,2210.759384,5
212.437012,1879.980407,5
184.513184,1590.869943,7
161.710449,1394.618797,6
142.034180,1285.531058,4
124.154785,1133.862272,5
110.976074,1181.218666,5
96.803711,1033.744674,4
85.252441,937.160394,5
74.836914,887.139419,4
67.390625,861.094482,6
60.906250,841.398438,6
54.083496,810.172228,10
49.594238,775.672760,5
45.413086,760.926040,6
43.462891,860.751553,8
39.331055,720.498801,7
37.312988,800.361511,7
34.778320,733.024100,5
32.003906,692.343735,9
31.945801,767.715324,6
29.897461,765.998275,5
28.852051,723.251060,8
28.822754,850.279619,6
27.094727,789.983214,5
25.323242,747.666999,7
24.448730,777.636043,5
25.239258,858.797248,6
23.141113,777.302841,6
22.688477,800.072875,6
22.688477,800.072875,6
String tested,Total calculation time(milis)
wBGDMlOfVTJ,207
