Averaged Fitness Value,Standard Deviation value,calculation time(milis)
143.739258,1475.083381,6
116.627930,1059.980704,5
97.688965,1004.254331,6
81.901367,906.862342,4
69.023926,817.636635,5
58.525391,731.341152,7
50.143066,649.517130,5
45.770020,727.091152,6
41.367676,716.741279,6
36.388672,680.370419,5
32.426270,644.233822,5
30.252441,660.520746,9
28.786133,685.245276,6
27.314453,695.551510,8
24.497559,662.101557,8
23.981445,718.566062,5
23.981445,718.566062,5
String tested,Total calculation time(milis)
AIUGFc,110
