Averaged Fitness Value,Standard Deviation value,calculation time(milis)
143.739258,1475.083381,5
116.627930,1059.980704,5
97.688965,1004.254331,4
81.901367,906.862342,4
69.023926,817.636635,6
58.525391,731.341152,5
50.143066,649.517130,5
45.770020,727.091152,7
41.367676,716.741279,5
36.388672,680.370419,5
32.426270,644.233822,6
30.252441,660.520746,5
28.786133,685.245276,5
27.314453,695.551510,6
24.497559,662.101557,5
23.981445,718.566062,7
23.981445,718.566062,7
String tested,Total calculation time(milis)
AIUGFc,101
