Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
438.150879,5852.797060,0.004000,4
377.432617,4171.263038,0.003000,3
330.455566,3352.717752,0.003000,3
292.847168,3204.431232,0.004000,4
254.123047,2641.756344,0.004000,4
222.194336,2320.644851,0.003000,3
195.785645,2068.112743,0.004000,4
171.940918,1812.845630,0.006000,6
151.812988,1582.071960,0.003000,3
132.977539,1361.285628,0.004000,4
119.199219,1340.941757,0.004000,4
107.095703,1171.734005,0.004000,4
95.756348,1048.847372,0.003000,3
86.676270,1061.954281,0.004000,4
79.776367,1057.867957,0.004000,4
72.631348,1039.641927,0.004000,4
66.706543,971.891910,0.004000,4
60.792969,910.156357,0.004000,4
55.791992,922.025092,0.005000,5
51.683105,915.519207,0.003000,3
47.619629,926.802095,0.004000,4
44.585938,951.988708,0.007000,7
41.165527,988.033636,0.003000,3
38.855469,979.565048,0.005000,5
35.776367,945.722449,0.005000,5
33.467773,944.626891,0.005000,5
31.337891,925.195400,0.003000,3
29.682617,917.405128,0.004000,4
29.618652,943.008383,0.004000,4
27.234375,884.126709,0.005000,5
27.746094,984.663071,0.004000,4
26.625000,934.776367,0.004000,4
25.824219,953.503281,0.006000,6
24.111328,893.054989,0.004000,4
25.958008,1025.833198,0.009000,9
23.764160,939.506391,0.004000,4
23.835449,949.190208,0.005000,5
23.317871,989.220735,0.005000,5
22.599609,919.577969,0.005000,5
21.747559,882.060785,0.004000,4
23.136230,932.652828,0.006000,6
21.730469,935.912704,0.003000,3
21.808594,923.774887,0.003000,3
20.731934,916.016519,0.004000,4
20.997070,948.494132,0.004000,4
20.997070,948.494132,0.004000,4
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,279
