Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.043945,513.523459,0.008000,8
712.084961,756.639266,0.008000,8
688.505859,1056.361294,0.008000,8
662.631836,1180.036330,0.007000,7
633.540039,1457.145858,0.017000,17
605.131836,1766.095901,0.008000,8
571.005859,1903.480434,0.008000,8
538.461914,2191.921401,0.009000,9
503.315430,2459.076285,0.008000,8
466.303711,2571.151900,0.007000,7
430.551758,3002.088141,0.010000,10
391.733398,3279.075408,0.008000,8
352.382812,3524.888611,0.008000,8
311.147461,3229.200912,0.008000,8
272.421875,3116.693115,0.006000,6
236.967773,3178.940368,0.006000,6
202.607422,2893.006039,0.005000,5
173.046875,2608.782959,0.005000,5
145.815430,2519.159293,0.004000,4
121.206055,2431.211448,0.004000,4
121.206055,2431.211448,0.004000,4
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,186
