Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
372.956543,4243.696842,0.005000,5
320.933594,2999.160629,0.004000,4
281.077637,2649.720047,0.004000,4
244.784668,2107.772480,0.007000,7
215.775391,1725.642910,0.004000,4
192.762207,1527.271091,0.014000,14
173.043457,1353.096256,0.005000,5
156.249512,1240.200927,0.004000,4
141.819336,1163.950759,0.006000,6
127.102539,1026.556869,0.003000,3
115.949707,1033.207920,0.005000,5
105.782227,953.445739,0.005000,5
96.399414,892.167617,0.004000,4
88.317871,894.830110,0.004000,4
81.966797,882.950069,0.006000,6
75.244141,851.818325,0.005000,5
70.674805,869.413779,0.003000,3
64.884277,796.114050,0.008000,8
60.200195,775.482383,0.006000,6
56.293457,745.455387,0.004000,4
52.991211,782.943282,0.004000,4
51.000488,824.442871,0.004000,4
47.982910,797.311720,0.004000,4
46.229004,797.167772,0.004000,4
43.867676,792.326729,0.004000,4
42.432129,850.738558,0.006000,6
39.791016,764.686794,0.003000,3
38.108887,792.497421,0.004000,4
37.259766,820.980373,0.004000,4
34.909180,798.236869,0.007000,7
33.938477,827.753051,0.005000,5
32.559570,830.411490,0.003000,3
30.892578,804.781429,0.004000,4
28.934082,796.134815,0.010000,10
29.443848,843.027120,0.004000,4
27.205078,801.618099,0.003000,3
27.037598,836.668020,0.006000,6
25.961914,854.639174,0.004000,4
25.229492,816.094794,0.004000,4
23.890625,752.948975,0.004000,4
25.396973,835.490362,0.005000,5
23.230469,792.025009,0.006000,6
23.248047,798.919918,0.004000,4
22.318848,829.589254,0.004000,4
22.160645,825.503002,0.007000,7
21.906738,812.887298,0.004000,4
22.083496,849.837267,0.005000,5
20.532227,779.805602,0.004000,4
20.537598,822.912649,0.004000,4
20.391602,828.117156,0.004000,4
20.838379,844.198976,0.004000,4
20.838379,844.198976,0.004000,4
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,343
