Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
100.968750,1153.921875,0.003000,3
80.428223,930.079809,0.004000,4
66.770996,913.740038,0.003000,3
55.976074,840.967689,0.003000,3
46.298828,817.389217,0.004000,4
38.901367,696.940467,0.019000,19
34.847168,765.050373,0.004000,4
31.216309,759.012293,0.004000,4
30.531738,872.497040,0.006000,6
27.473633,867.936805,0.003000,3
24.152832,786.417560,0.005000,5
23.261230,852.803341,0.004000,4
23.261230,852.803341,0.004000,4
String tested,Total calculation time(milis)
IgZW,81
