Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.040039,391.594100,0.007000,7
572.119141,607.911587,0.007000,7
552.539062,908.299255,0.006000,6
526.738281,1166.216660,0.008000,8
500.639648,1390.752959,0.020000,20
471.889648,1616.790557,0.007000,7
442.304688,1875.450134,0.006000,6
412.836914,2060.457778,0.005000,5
380.346680,2137.233329,0.007000,7
347.822266,2260.491848,0.006000,6
316.318359,2349.629116,0.006000,6
283.144531,2572.924423,0.005000,5
252.666016,2673.458767,0.006000,6
220.854492,2727.931952,0.006000,6
187.514648,2624.535918,0.005000,5
159.125977,2731.511474,0.007000,7
159.125977,2731.511474,0.007000,7
String tested,Total calculation time(milis)
DhXGuTbVcpMA,144
