Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
271.104492,3973.236152,0.003000,3
224.456543,2732.714908,0.004000,4
188.842773,2198.856139,0.003000,3
160.078613,1914.187668,0.003000,3
133.859863,1492.272842,0.003000,3
114.442871,1332.041658,0.005000,5
99.144531,1221.402939,0.004000,4
86.685059,1142.335871,0.006000,6
76.428711,1068.090621,0.005000,5
66.438965,944.821470,0.004000,4
59.270508,900.461005,0.006000,6
53.860352,856.647491,0.004000,4
50.537109,868.515224,0.004000,4
45.977539,870.964339,0.004000,4
42.571777,864.033911,0.004000,4
40.085938,886.407654,0.005000,5
36.763672,866.335751,0.003000,3
34.886230,872.540279,0.003000,3
32.250977,853.372558,0.006000,6
29.666016,856.144314,0.003000,3
28.106934,864.376749,0.005000,5
27.412598,878.070486,0.004000,4
25.929199,889.524772,0.003000,3
25.506836,911.920852,0.005000,5
25.506836,911.920852,0.005000,5
String tested,Total calculation time(milis)
mdcBYpoEq,142
