Averaged Fitness Value,Standard Deviation value,calculation time(milis)
633.813477,412.459350,8
617.802734,725.347805,8
595.224609,1085.984707,13
567.841797,1354.326534,7
538.251953,1498.116207,7
509.375000,1633.984375,6
478.496094,1937.484360,8
448.364258,2069.834113,6
416.772461,2383.479476,7
380.820312,2439.463806,6
347.202148,2615.560699,6
312.612305,2719.787192,6
279.667969,2617.956161,6
245.747070,2591.922355,6
216.372070,2627.902579,6
186.772461,2503.596663,7
186.772461,2503.596663,7
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,129
