Averaged Fitness Value,Standard Deviation value,calculation time(milis)
326.953125,3393.831787,7
281.815918,2223.998829,6
249.236816,1838.427805,6
221.105957,1548.713871,5
196.476074,1411.250404,6
174.989258,1283.155158,5
156.486816,1183.774240,8
141.316406,1099.767075,5
126.987305,1136.312339,5
112.575195,950.282432,8
101.437012,964.509704,6
91.494629,904.002901,6
82.529297,919.002071,8
72.656738,802.228363,6
65.911621,827.742677,5
60.281738,831.615448,7
56.024414,808.784560,6
50.633301,704.985161,5
47.390625,795.473389,15
43.680664,713.881423,5
40.726562,746.888123,6
39.589355,811.845531,6
37.038086,772.884292,5
35.818848,802.049703,6
33.166992,760.982856,7
31.778809,792.884180,5
29.885742,771.372687,8
27.578613,744.754562,7
28.038086,828.861831,5
25.329590,710.736585,18
25.279785,810.156584,6
24.593262,786.116302,5
23.208984,775.499294,4
22.430176,773.111336,5
22.281250,816.707031,6
21.922852,817.569243,4
21.922852,817.569243,4
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,258
