Averaged Fitness Value,Standard Deviation value,calculation time(milis)
236.001953,3198.880856,4
194.631836,2229.179885,5
164.036133,1829.037757,3
138.238770,1527.311641,6
118.689453,1278.842037,6
102.625000,1161.334961,5
88.414551,1091.882347,7
77.585938,1124.744568,5
67.673828,1048.198299,5
58.603516,966.751003,5
49.708008,796.227241,4
46.169434,853.450296,6
42.084961,782.201766,5
38.573242,840.412604,5
35.074707,834.033970,5
33.560059,828.268854,6
31.043945,829.682639,6
30.576172,866.447323,6
27.395996,748.314378,5
26.496582,825.901356,5
25.317383,798.559424,5
24.295898,833.543303,4
24.295898,833.543303,4
String tested,Total calculation time(milis)
XEqtBpbJ,131
