Averaged Fitness Value,Standard Deviation value,calculation time(milis)
152.276367,2222.070106,5
121.446289,1719.043014,4
97.703613,1456.430221,4
79.385742,1230.575812,14
65.143066,1019.835489,5
55.784180,936.966117,5
48.578613,950.266281,4
43.354980,990.483852,5
39.844727,1005.629210,8
35.452148,981.458648,5
31.576172,949.655331,4
28.630859,930.590298,5
27.394531,911.387314,5
27.600098,1027.714590,7
24.344238,953.047027,4
24.153320,932.877860,4
24.153320,932.877860,4
String tested,Total calculation time(milis)
barak,106
