Averaged Fitness Value,Standard Deviation value,calculation time(milis)
489.741211,278.790450,6
477.080078,475.165462,5
459.970703,744.335079,5
436.127930,1007.614493,7
413.847656,1319.179916,6
384.760742,1506.388068,7
357.451172,1765.573788,7
327.041016,1900.228786,6
296.943359,2219.270229,7
267.275391,2216.697598,5
234.946289,2248.727584,6
206.640625,2236.566162,6
180.161133,2208.714271,6
154.267578,2235.108089,5
154.267578,2235.108089,5
String tested,Total calculation time(milis)
WRynAoIrxu,98
