Averaged Fitness Value,Standard Deviation value,calculation time(milis)
331.170898,4562.513762,7
280.635254,3350.181902,7
239.650391,2765.696133,5
204.161621,2610.559328,6
172.844727,1993.795226,5
149.319824,1691.942146,8
128.675293,1493.517124,5
112.918945,1392.317649,5
98.550781,1248.423203,6
85.437988,1110.972717,8
75.762695,1058.538413,8
67.361816,996.414499,9
61.062012,1058.113830,6
53.034668,944.052021,5
47.875488,896.997680,7
44.756836,920.755324,12
40.809082,915.984546,5
37.510254,842.768450,5
35.008301,842.619560,4
32.706055,859.984885,5
30.183594,811.434067,5
30.488281,885.119980,4
28.787109,899.464443,5
28.656738,915.201996,4
27.818848,966.259664,5
25.162598,858.464285,5
25.369141,934.512173,5
23.371094,877.480453,4
24.157715,996.996122,5
24.157715,996.996122,5
String tested,Total calculation time(milis)
WRynAoIrxu,189
