Averaged Fitness Value,Standard Deviation value,calculation time(milis)
273.285156,3627.493881,4
229.334473,2538.052679,6
196.267090,2157.861768,4
166.567871,1827.624300,4
143.237793,1493.628513,5
125.094727,1371.856261,4
108.311523,1210.179320,3
96.091309,1185.623987,5
84.877441,1181.961054,5
72.945801,1007.478019,4
63.776855,966.718273,4
57.334961,871.213973,4
53.577148,940.140532,5
47.779297,887.860470,5
44.078125,870.877686,5
41.235352,910.952422,4
38.052734,875.937649,5
36.217773,859.793395,5
33.367188,845.184509,5
30.575195,814.532432,5
29.199219,839.798203,4
28.531738,891.131805,6
26.675293,872.359897,4
26.264160,896.479536,5
25.220703,879.883907,6
25.220703,879.883907,6
String tested,Total calculation time(milis)
VbTHsrIpt,136
