Averaged Fitness Value,Standard Deviation value,calculation time(milis)
273.285156,3627.493881,6
229.334473,2538.052679,5
196.267090,2157.861768,6
166.567871,1827.624300,8
143.237793,1493.628513,6
125.094727,1371.856261,6
108.311523,1210.179320,5
96.091309,1185.623987,4
84.877441,1181.961054,7
72.945801,1007.478019,5
63.776855,966.718273,5
57.334961,871.213973,7
53.577148,940.140532,7
47.779297,887.860470,13
44.078125,870.877686,6
41.235352,910.952422,4
38.052734,875.937649,5
36.217773,859.793395,6
33.367188,845.184509,5
30.575195,814.532432,6
29.199219,839.798203,7
28.531738,891.131805,7
26.675293,872.359897,4
26.264160,896.479536,5
25.220703,879.883907,6
25.220703,879.883907,6
String tested,Total calculation time(milis)
VbTHsrIpt,170
