Averaged Fitness Value,Standard Deviation value,calculation time(milis)
273.285156,3627.493881,6
229.334473,2538.052679,5
196.267090,2157.861768,16
166.567871,1827.624300,5
143.237793,1493.628513,5
125.094727,1371.856261,6
108.311523,1210.179320,5
96.091309,1185.623987,6
84.877441,1181.961054,5
72.945801,1007.478019,5
63.776855,966.718273,5
57.334961,871.213973,5
53.577148,940.140532,5
47.779297,887.860470,5
44.078125,870.877686,6
41.235352,910.952422,6
38.052734,875.937649,6
36.217773,859.793395,5
33.367188,845.184509,5
30.575195,814.532432,6
29.199219,839.798203,6
28.531738,891.131805,6
26.675293,872.359897,5
26.264160,896.479536,8
25.220703,879.883907,6
25.220703,879.883907,6
String tested,Total calculation time(milis)
VbTHsrIpt,168
